esn,latitude,longitude,speed,eventid,timestamp
5571004047,50.812611,-116.008284,11,10,1596931200
5571004047,50.812612,-116.008285,11,86,1596931214
5571004047,50.812613,-116.008286,11,10,1596931228
5571004047,50.812614,-116.008287,11,86,1596931242
5571004047,50.812615,-116.008288,11,10,1596931256
5571004047,50.812616,-116.008289,11,86,1596931270
5571004047,50.812617,-116.00829,11,10,1596931284
5571004047,50.812618,-116.008291,11,86,1596931298
5571004047,50.812619,-116.008292,11,10,1596931312
5571004047,50.81262,-116.008293,11,86,1596931326
5571004047,50.812621,-116.008294,11,10,1596931340
5571004047,50.812622,-116.008295,11,86,1596931354
5571004047,50.812623,-116.008296,11,10,1596931368
5571004047,50.812624,-116.008297,11,86,1596931382
5571004047,50.812625,-116.008298,11,10,1596931396
5571004047,50.812626,-116.008299,11,86,1596931410
5571004047,50.812627,-116.0083,11,10,1596931424
5571004047,50.812628,-116.008301,11,86,1596931438
5571004047,50.812629,-116.008302,11,10,1596931452
5571004047,50.81263,-116.008303,11,86,1596931466
5571004047,50.812631,-116.008304,11,10,1596931480
5571004047,50.812632,-116.008305,11,86,1596931494
5571004047,50.812633,-116.008306,11,10,1596931508
5571004047,50.812634,-116.008307,11,86,1596931522
5571004047,50.812635,-116.008308,11,10,1596931536
5571004047,50.812636,-116.008309,11,86,1596931550
5571004047,50.812637,-116.00831,11,10,1596931564
5571004047,50.812638,-116.008311,11,86,1596931578
5571004047,50.812639,-116.008312,11,10,1596931592
5571004047,50.81264,-116.008313,11,86,1596931606
5571004047,50.812641,-116.008314,11,10,1596931620
5571004047,50.812642,-116.008315,11,86,1596931634
5571004047,50.812643,-116.008316,11,10,1596931648
5571004047,50.812644,-116.008317,11,86,1596931662
5571004047,50.812645,-116.008318,11,10,1596931676
5571004047,50.812646,-116.008319,11,86,1596931690
5571004047,50.812647,-116.00832,11,10,1596931704
5571004047,50.812648,-116.008321,11,86,1596931718
5571004047,50.812649,-116.008322,11,10,1596931732
5571004047,50.81265,-116.008323,11,86,1596931746
5571004047,50.812651,-116.008324,11,10,1596931760
5571004047,50.812652,-116.008325,11,86,1596931774
5571004047,50.812653,-116.008326,11,10,1596931788
5571004047,50.812654,-116.008327,11,86,1596931802
5571004047,50.812655,-116.008328,11,10,1596931816
5571004047,50.812656,-116.008329,11,86,1596931830
5571004047,50.812657,-116.00833,11,10,1596931844
5571004047,50.812658,-116.008331,11,86,1596931858
5571004047,50.812659,-116.008332,11,10,1596931872
5571004047,50.81266,-116.008333,11,86,1596931886
5571004047,50.812661,-116.008334,11,10,1596931900
5571004047,50.812662,-116.008335,11,86,1596931914
5571004047,50.812663,-116.008336,11,10,1596931928
5571004047,50.812664,-116.008337,11,86,1596931942
5571004047,50.812665,-116.008338,11,10,1596931956
5571004047,50.812666,-116.008339,11,86,1596931970
5571004047,50.812667,-116.00834,11,10,1596931984
5571004047,50.812668,-116.008341,11,86,1596931998
5571004047,50.812669,-116.008342,11,10,1596932012
5571004047,50.81267,-116.008343,11,86,1596932026
5571004047,50.812671,-116.008344,11,10,1596932040
5571004047,50.812672,-116.008345,11,86,1596932054
5571004047,50.812673,-116.008346,11,10,1596932068
5571004047,50.812674,-116.008347,11,86,1596932082
5571004047,50.812675,-116.008348,11,10,1596932096
5571004047,50.812676,-116.008349,11,86,1596932110
5571004047,50.812677,-116.00835,11,10,1596932124
5571004047,50.812678,-116.008351,11,86,1596932138
5571004047,50.812679,-116.008352,11,10,1596932152
5571004047,50.81268,-116.008353,11,86,1596932166
5571004047,50.812681,-116.008354,11,10,1596932180
5571004047,50.812682,-116.008355,11,86,1596932194
5571004047,50.812683,-116.008356,11,10,1596932208
5571004047,50.812684,-116.008357,11,86,1596932222
5571004047,50.812685,-116.008358,11,10,1596932236
5571004047,50.812686,-116.008359,11,86,1596932250
5571004047,50.812687,-116.00836,11,10,1596932264
5571004047,50.812688,-116.008361,11,86,1596932278
5571004047,50.812689,-116.008362,11,10,1596932292
5571004047,50.81269,-116.008363,11,86,1596932306
5571004047,50.812691,-116.008364,11,10,1596932320
5571004047,50.812692,-116.008365,11,86,1596932334
5571004047,50.812693,-116.008366,11,10,1596932348
5571004047,50.812694,-116.008367,11,86,1596932362
5571004047,50.812695,-116.008368,11,10,1596932376
5571004047,50.812696,-116.008369,11,86,1596932390
5571004047,50.812697,-116.00837,11,10,1596932404
5571004047,50.812698,-116.008371,11,86,1596932418
5571004047,50.812699,-116.008372,11,10,1596932432
5571004047,50.8127,-116.008373,11,86,1596932446
5571004047,50.812701,-116.008374,11,10,1596932460
5571004047,50.812702,-116.008375,11,86,1596932474
5571004047,50.812703,-116.008376,11,10,1596932488
5571004047,50.812704,-116.008377,11,86,1596932502
5571004047,50.812705,-116.008378,11,10,1596932516
5571004047,50.812706,-116.008379,11,86,1596932530
5571004047,50.812707,-116.00838,11,10,1596932544
5571004047,50.812708,-116.008381,11,86,1596932558
5571004047,50.812709,-116.008382,11,10,1596932572
5571004047,50.81271,-116.008383,11,86,1596932586
5571004047,50.812711,-116.008384,11,10,1596932600
5571004047,50.812712,-116.008385,11,86,1596932614
5571004047,50.812713,-116.008386,11,10,1596932628
5571004047,50.812714,-116.008387,11,86,1596932642
5571004047,50.812715,-116.008388,11,10,1596932656
5571004047,50.812716,-116.008389,11,86,1596932670
5571004047,50.812717,-116.00839,11,10,1596932684
5571004047,50.812718,-116.008391,11,86,1596932698
5571004047,50.812719,-116.008392,11,10,1596932712
5571004047,50.81272,-116.008393,11,86,1596932726
5571004047,50.812721,-116.008394,11,10,1596932740
5571004047,50.812722,-116.008395,11,86,1596932754
5571004047,50.812723,-116.008396,11,10,1596932768
5571004047,50.812724,-116.008397,11,86,1596932782
5571004047,50.812725,-116.008398,11,10,1596932796
5571004047,50.812726,-116.008399,11,86,1596932810
5571004047,50.812727,-116.0084,11,10,1596932824
5571004047,50.812728,-116.008401,11,86,1596932838
5571004047,50.812729,-116.008402,11,10,1596932852
5571004047,50.81273,-116.008403,11,86,1596932866
5571004047,50.812731,-116.008404,11,10,1596932880
5571004047,50.812732,-116.008405,11,86,1596932894
5571004047,50.812733,-116.008406,11,10,1596932908
5571004047,50.812734,-116.008407,11,86,1596932922
5571004047,50.812735,-116.008408,11,10,1596932936
5571004047,50.812736,-116.008409,11,86,1596932950
5571004047,50.812737,-116.00841,11,10,1596932964
5571004047,50.812738,-116.008411,11,86,1596932978
5571004047,50.812739,-116.008412,11,10,1596932992
5571004047,50.81274,-116.008413,11,86,1596933006
5571004047,50.812741,-116.008414,11,10,1596933020
5571004047,50.812742,-116.008415,11,86,1596933034
5571004047,50.812743,-116.008416,11,10,1596933048
5571004047,50.812744,-116.008417,11,86,1596933062
5571004047,50.812745,-116.008418,11,10,1596933076
5571004047,50.812746,-116.008419,11,86,1596933090
5571004047,50.812747,-116.00842,11,10,1596933104
5571004047,50.812748,-116.008421,11,86,1596933118
5571004047,50.812749,-116.008422,11,10,1596933132
5571004047,50.81275,-116.008423,11,86,1596933146
5571004047,50.812751,-116.008424,11,10,1596933160
5571004047,50.812752,-116.008425,11,86,1596933174
5571004047,50.812753,-116.008426,11,10,1596933188
5571004047,50.812754,-116.008427,11,86,1596933202
5571004047,50.812755,-116.008428,11,10,1596933216
5571004047,50.812756,-116.008429,11,86,1596933230
5571004047,50.812757,-116.00843,11,10,1596933244
5571004047,50.812758,-116.008431,11,86,1596933258
5571004047,50.812759,-116.008432,11,10,1596933272
5571004047,50.81276,-116.008433,11,86,1596933286
5571004047,50.812761,-116.008434,11,10,1596933300
5571004047,50.812762,-116.008435,11,86,1596933314
5571004047,50.812763,-116.008436,11,10,1596933328
5571004047,50.812764,-116.008437,11,86,1596933342
5571004047,50.812765,-116.008438,11,10,1596933356
5571004047,50.812766,-116.008439,11,86,1596933370
5571004047,50.812767,-116.00844,11,10,1596933384
5571004047,50.812768,-116.008441,11,86,1596933398
5571004047,50.812769,-116.008442,11,10,1596933412
5571004047,50.81277,-116.008443,11,86,1596933426
5571004047,50.812771,-116.008444,11,10,1596933440
5571004047,50.812772,-116.008445,11,86,1596933454
5571004047,50.812773,-116.008446,11,10,1596933468
5571004047,50.812774,-116.008447,11,86,1596933482
5571004047,50.812775,-116.008448,11,10,1596933496
5571004047,50.812776,-116.008449,11,86,1596933510
5571004047,50.812777,-116.00845,11,10,1596933524
5571004047,50.812778,-116.008451,11,86,1596933538
5571004047,50.812779,-116.008452,11,10,1596933552
5571004047,50.81278,-116.008453,11,86,1596933566
5571004047,50.812781,-116.008454,11,10,1596933580
5571004047,50.812782,-116.008455,11,86,1596933594
5571004047,50.812783,-116.008456,11,10,1596933608
5571004047,50.812784,-116.008457,11,86,1596933622
5571004047,50.812785,-116.008458,11,10,1596933636
5571004047,50.812786,-116.008459,11,86,1596933650
5571004047,50.812787,-116.00846,11,10,1596933664
5571004047,50.812788,-116.008461,11,86,1596933678
5571004047,50.812789,-116.008462,11,10,1596933692
5571004047,50.81279,-116.008463,11,86,1596933706
5571004047,50.812791,-116.008464,11,10,1596933720
5571004047,50.812792,-116.008465,11,86,1596933734
5571004047,50.812793,-116.008466,11,10,1596933748
5571004047,50.812794,-116.008467,11,86,1596933762
5571004047,50.812795,-116.008468,11,10,1596933776
5571004047,50.812796,-116.008469,11,86,1596933790
5571004047,50.812797,-116.00847,11,10,1596933804
5571004047,50.812798,-116.008471,11,86,1596933818
5571004047,50.812799,-116.008472,11,10,1596933832
5571004047,50.8128,-116.008473,11,86,1596933846
5571004047,50.812801,-116.008474,11,10,1596933860
5571004047,50.812802,-116.008475,11,86,1596933874
5571004047,50.812803,-116.008476,11,10,1596933888
5571004047,50.812804,-116.008477,11,86,1596933902
5571004047,50.812805,-116.008478,11,10,1596933916
5571004047,50.812806,-116.008479,11,86,1596933930
5571004047,50.812807,-116.00848,11,10,1596933944
5571004047,50.812808,-116.008481,11,86,1596933958
5571004047,50.812809,-116.008482,11,10,1596933972
5571004047,50.81281,-116.008483,11,86,1596933986
5571004047,50.812811,-116.008484,11,10,1596934000
5571004047,50.812812,-116.008485,11,86,1596934014
5571004047,50.812813,-116.008486,11,10,1596934028
5571004047,50.812814,-116.008487,11,86,1596934042
5571004047,50.812815,-116.008488,11,10,1596934056
5571004047,50.812816,-116.008489,11,86,1596934070
5571004047,50.812817,-116.00849,11,10,1596934084
