esn,latitude,longitude,speed,eventid
352974026197848,50.812611,-116.008284,0,0
352974026197848,51.005099,-114.057061,1,1
352974026197848,51.04093117,-114.0947208,2,2
352974026197848,51.000466,-114.069908,3,6
352974026197848,50.991542,-114.033777,4,7
352974026197848,51.089346,-114.228256,5,8
352974026197848,50.997739,-114.064293,6,9
352974026197848,52.740574,-113.644151,7,10
352974026197848,50.98510283,-114.0831878,8,12
352974026197848,50.98510283,-114.0831878,9,14
352974026197848,50.98510283,-114.0831878,10,17
352974026197848,50.98510283,-114.0831878,11,19
352974026197848,50.98510283,-114.0831878,12,32
352974026197848,50.98510283,-114.0831878,13,33
352974026197848,50.98510283,-114.0831878,14,34
352974026197848,50.98510283,-114.0831878,15,35
352974026197848,50.98510283,-114.0831878,16,36
352974026197848,50.98510283,-114.0831878,17,37
352974026197848,50.98510283,-114.0831878,18,39
352974026197848,50.98510283,-114.0831878,19,40
352974026197848,50.98510283,-114.0831878,20,41
352974026197848,50.98510283,-114.0831878,21,42
352974026197848,50.98510283,-114.0831878,22,44
352974026197848,50.98510283,-114.0831878,23,45
352974026197848,50.98510283,-114.0831878,24,49
352974026197848,50.98510283,-114.0831878,25,50
352974026197848,50.98510283,-114.0831878,26,64
352974026197848,50.98510283,-114.0831878,27,65
352974026197848,50.98510283,-114.0831878,28,66
352974026197848,50.98510283,-114.0831878,29,67
352974026197848,50.98510283,-114.0831878,30,68
352974026197848,50.98510283,-114.0831878,31,69
352974026197848,50.98510283,-114.0831878,32,70
352974026197848,50.98510283,-114.0831878,33,71
352974026197848,50.98510283,-114.0831878,34,72
352974026197848,50.98510283,-114.0831878,35,73
352974026197848,50.98510283,-114.0831878,36,74
352974026197848,50.98510283,-114.0831878,37,75
352974026197848,50.98510283,-114.0831878,38,76
352974026197848,50.98510283,-114.0831878,39,77
352974026197848,50.98510283,-114.0831878,40,78
352974026197848,50.98510283,-114.0831878,41,79
352974026197848,50.98510283,-114.0831878,42,80
352974026197848,50.98510283,-114.0831878,43,81
352974026197848,50.98510283,-114.0831878,44,82
352974026197848,50.98510283,-114.0831878,45,83
352974026197848,50.98510283,-114.0831878,46,84
352974026197848,50.98510283,-114.0831878,47,85
352974026197848,50.98510283,-114.0831878,48,86
352974026197848,50.98510283,-114.0831878,49,87
352974026197848,50.98510283,-114.0831878,50,88
352974026197848,50.98510283,-114.0831878,51,89
352974026197848,50.98510283,-114.0831878,52,90
352974026197848,50.98510283,-114.0831878,53,91
352974026197848,50.98510283,-114.0831878,54,92
